Sex,Age,Ethnicity,Ethnicity_Collapsed,Ethnicity_binary,Region,Type_Of_Org,Specific_Type_Of_Org,Education_Band,BORNUK,BORNUK_binary,Annual_Income,Weekly_Income,income_drop,income_group,OutsourcedNonOL,TradeUnion,TUCOV,Occupation_Catergory,Organisation_Catergory,Guaranteed_Hours,Notice_Of_Working_Hours,Notice_Of_Cancelled_Shifts,Cancelled_Shift_Pay,Sick_Pay,RightsViolations_Paid_On_Time,RightsViolations_Paid_Correct_Amount,RightsViolations_Leave_Entitlement,RightsViolations_Holiday_Pay,RightsViolations_Sick_Pay,RightsViolations_Pay_Slip,RightsViolations_Health_Safety,RightsViolations_None,RightsViolations_TEXT,Job_Satisfaction,Pay_Comparison,Training_Induction,Treatment_At_Work_InHouse,Treatment_At_Work_Managers,Treatment_At_Work_Overall,Inhouse_Discrimination_Age,Inhouse_Discrimination_Disability,Inhouse_Discrimination_Nationality,Inhouse_Discrimination_Ethnicity,Inhouse_Discrimination_Sex,Client_Discrimination_Age,Client_Discrimination_Disability,Client_Discrimination_Nationality,Client_Discrimination_Ethnicity,Client_Discrimination_Sex,Clarity1,Clarity2,Clarity3,Clarity4,Clarity5,Clarity6,Clarity7,Clarity8,Clarity9,Clarity10,Clarity11,Clarity_Overall_Mean,Why_Job_Like,Why_Job_Convinient,Why_Job_Flexibility,Why_Job_Pay,Why_Job_Collegues,Why_Job_Culture,Why_Job_Progress,Why_Job_BestAvailable,Why_Job_NotQualified,Why_Job_Health,Why_Job_Carer,Pros_And_Cons_Flexibility,Pros_And_Cons_Pay,Pros_And_Cons_Hours,Pros_And_Cons_Holiday,Pros_And_Cons_Terms,Pros_And_Cons_Promotion,Pros_And_Cons_Training,Pros_And_Cons_Security,Pros_And_Cons_Treatment,Pros_And_Cons_Specialisation,Pros_And_Cons_Connection,Pros_And_Cons_FeelInvested,Pros_And_Cons_Rights,Pros_And_Cons_HealthSafety,Work_Preference,What_Improvements_Pay,What_Improvements_MoreHours,What_Improvements_LessHours,What_Improvements_MoreConsistency,What_Improvements_MoreFlexibility,What_Improvements_PartofInhouse,What_Improvements_PartofOutsourced,What_Improvements_Treatment,What_Improvements_BetterTerms,What_Improvements_EnforceRights,What_Improvements_Management,What_Improvements_Autonomy,What_Improvements_Union,What_Improvements_Other,What_Improvements_None,What_Improvements_Other_TEXT,Complaints,Outsourced
Male,50,English / Welsh / Scottish / Northern Irish / British,White British,White,Yorkshire and the Humber,"A private firm, business or limited company",NA,High,I was born in the UK,Born in UK,25598.57142857143,550,0,Mid,group 1 outsourced and long term,NA,Yes,"Professional, scientific, technical and associated occupations (e.g. doctor, nurse, teacher, lawyer, accountants, journa","Mining and Quarrying  (includes mining, quarrying, or oil and gas extraction)",35+ hours,Not applicable – my job does not involve variable working hours or shift work,Not applicable - my job does not involve variable working hours or shift work,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,NA,Not being given pay that I am entitled to while being off sick,NA,NA,NA,,5,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt prepared and adequately trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Always respected and treated well,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,4,NA,NA,NA,The pay is good,I like my colleagues,NA,NA,NA,NA,I can do the job alongside managing my health conditions,NA,I get to work more flexibly,Neither / no impact,I have less secure working hours,Neither / no impact,I get worse terms and conditions,Neither / no impact,I have  more access to training and development,Neither / no impact,I am treated better than in-house colleagues,I have less opportunity to specialise in my role or industry,I feel more connected to people I work with,I feel more invested in my role and my work,I find it easier to assert my rights at work,My health and safety at work is more protected,I would prefer to be an in-house worker,NA,More working hours,NA,NA,NA,NA,NA,NA,"Better terms and conditions, such as improved sick pay or holiday pay",Finding it easier to understand and enforce my rights,NA,NA,NA,NA,NA,,Somewhat agree,0.7971889559642225
Male,40,Pakistani,Asian/Asian British,Non-White,North West,Some other kind of organisation,"A charity, voluntary organisation or trust",High,I was born in the UK,Born in UK,9600,206.26151012891344,0,Low,group 2 agency and long term,Yes,Yes,"Skilled trades and skilled manual occupations (e.g. farmers, tool makers, electricians, plumbers, builders)","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",No guaranteed hours (zero hours),1-3 days,Yes,25-49%,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,Not being given time off that I am entitled to,Not being paid for paid leave that I am entitled to,Not being given pay that I am entitled to while being off sick,NA,NA,NA,,4,I think I get paid  less  than my colleagues in comparable roles who work in-house.,I felt prepared and adequately trained,I feel I am treated  worse  than in-house staff,I feel I am treated  worse  than in-house staff,"Sometimes well, sometimes poorly",Never,Never,Sometimes,Often,Often,Often,Never,Often,Often,Often,Strongly agree,Somewhat agree,Somewhat agree,Not sure,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,4.2,NA,My job is in a convenient location,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know,Neither / no impact,Neither / no impact,I get worse holiday leave,Don't know,Neither / no impact,I have  less access to training and development,Neither / no impact,I am treated worse than in house colleagues,Neither / no impact,Neither / no impact,Neither / no impact,I find it harder to assert my rights at work,Neither / no impact,I have no preference,Higher pay,NA,Fewer working hours,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Strongly agree,0.7617202731465885
Male,42,English / Welsh / Scottish / Northern Irish / British,White British,White,Scotland,"A private firm, business or limited company",NA,High,I was born in the UK,Born in UK,3480,74.76979742173113,0,Low,group 1 outsourced and long term,Yes,No,"Skilled trades and skilled manual occupations (e.g. farmers, tool makers, electricians, plumbers, builders)","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",25-35 hours,4-6 days,No,NA,"Yes, my employer pays me sick pay which is above the basic rate of statutory sick pay (£116.75 a week) but below my usu",Not being paid on time,NA,NA,Not being paid for paid leave that I am entitled to,NA,NA,NA,NA,,5,I think I get paid  less  than my colleagues in comparable roles who work in-house.,I felt prepared and adequately trained,I feel I am treated  worse  than in-house staff,I feel I am treated  worse  than in-house staff,Usually respected and treated well,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,4.545454545454546,I like doing this kind of work,NA,NA,NA,NA,NA,NA,NA,NA,I can do the job alongside managing my health conditions,NA,I get to work more flexibly,I get paid less,I have more secure working hours,Neither / no impact,Neither / no impact,I have less opportunity to progress onto higher pay or be promoted,I have  less access to training and development,I have less job security,I am treated worse than in house colleagues,I have more opportunity to specialise in my role or industry,I feel less connected to people I work with,Neither / no impact,Neither / no impact,My health and safety at work is more protected,I have no preference,Higher pay,NA,NA,NA,More flexible working hours,NA,Feeling more like a part of the team with other outsourced staff,NA,NA,NA,NA,NA,NA,NA,NA,,Somewhat agree,0.9166708308000824
Female,23,Bangladeshi,Asian/Asian British,Non-White,London,"A private firm, business or limited company",NA,Low,Within the last year,Not born in UK,8460,181.76795580110496,0,Low,group 1 outsourced and long term,No,No,"Sales and customer service occupations (e.g. sales and retail assistants, call centre workers, pharmacy workers)","Activities of households as employers  (employed by a household as domestic personnel, i.e. cleaner – not through an a",9-15 hours,1-2 weeks,Not applicable - my job does not involve variable working hours or shift work,NA,"Yes, my employer pays me sick pay which is above the basic rate of statutory sick pay (£116.75 a week) but below my usu",NA,NA,NA,Not being paid for paid leave that I am entitled to,NA,NA,NA,NA,,5,I think I get paid  more  than my colleagues in comparable roles who work in-house.,I felt prepared and adequately trained,It’s not possible to say / there are no in-house staff I can compare myself to,I feel I am treated  the same  as in-house staff,Usually respected and treated well,Rarely,Often,Don’t know,Sometimes,Often,Rarely,Prefer not to say,Rarely,NA - I don't interact with clients  or customers in my role,Often,Not sure,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Not sure,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,2.7777777777777777,I like doing this kind of work,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I get to work less flexibly,I get paid more,Don't know,I get worse holiday leave,I get better terms and conditions,Neither / no impact,Don't know,I have less job security,Don't know,I have less opportunity to specialise in my role or industry,I feel more connected to people I work with,I feel less invested in my role and my work,Neither / no impact,Neither / no impact,I would prefer to be an in-house worker,NA,NA,NA,NA,NA,NA,NA,NA,"Better terms and conditions, such as improved sick pay or holiday pay",NA,NA,NA,NA,NA,NA,,Somewhat agree,2.125475138666676
Male,42,Indian,Asian/Asian British,Non-White,London,Some other kind of organisation,A health authority or NHS Trust,High,Within the last 10 years,Not born in UK,27600,593.0018416206261,0,Mid,group 1 outsourced and long term,Yes,Don't know,"Administrative and secretarial occupations (e.g. clerk, secretary, receptionist)","Human Health and Social Work Activities (health and medical services, residential care, or social work activities)",1-8 hours,4-6 days,No,NA,"Yes, my employer pays me sick pay which is above the basic rate of statutory sick pay (£116.75 a week) but below my usu",NA,NA,NA,NA,NA,NA,NA,None of these,,6,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt prepared and adequately trained,I feel I am treated  better  than in-house staff,I feel I am treated  better  than in-house staff,"Sometimes well, sometimes poorly",Never,Never,Rarely,Rarely,Never,Rarely,Rarely,Sometimes,Rarely,Rarely,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,4,I like doing this kind of work,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I get to work more flexibly,Neither / no impact,I have more secure working hours,Don't know,Neither / no impact,I have more opportunity to progress onto higher pay or be promoted,I have  less access to training and development,I have more job security,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,I would strongly prefer to be an in-house worker,NA,NA,NA,NA,NA,NA,NA,Being treated better,NA,NA,NA,NA,NA,NA,NA,,Somewhat agree,0.5245954277501447
Female,27,English / Welsh / Scottish / Northern Irish / British,White British,White,North West,"A private firm, business or limited company",NA,High,I was born in the UK,Born in UK,30000,644.5672191528545,0,Mid,group 1 outsourced and long term,No,No,"Managers, directors and senior officials (e.g. CEOs, MDs, board members, elected officials, shop owners, business owners","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",35+ hours,1-2 weeks,No,NA,"Yes, my employer pays me sick pay which is above the basic rate of statutory sick pay (£116.75 a week) but below my usu",NA,NA,NA,Not being paid for paid leave that I am entitled to,Not being given pay that I am entitled to while being off sick,NA,NA,NA,,6,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt prepared and adequately trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Usually respected and treated well,Never,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Rarely,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4.363636363636363,I like doing this kind of work,NA,NA,The pay is good,NA,NA,It is helping me develop skills and experience I need to progress,NA,NA,NA,NA,I get to work more flexibly,Neither / no impact,I have less secure working hours,Neither / no impact,Neither / no impact,Neither / no impact,I have  more access to training and development,I have less job security,Neither / no impact,I have less opportunity to specialise in my role or industry,I feel less connected to people I work with,Neither / no impact,Neither / no impact,Neither / no impact,I would prefer to be an in-house worker,Higher pay,NA,NA,NA,More flexible working hours,Feeling more like a part of the team with in-house staff,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Somewhat agree,0.765837840514947
Female,41,Any other White background,White Other,Non-White,London,"A private firm, business or limited company",NA,High,Within the last 15 years,Not born in UK,28800,618.7845303867404,0,Mid,group 2 agency and long term,No,No,"Professional, scientific, technical and associated occupations (e.g. doctor, nurse, teacher, lawyer, accountants, journa","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",35+ hours,Less than 24 hours,No,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,Not being paid for paid leave that I am entitled to,NA,NA,NA,NA,,4,I don’t know / I’m not sure,I felt very well prepared and well trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Always respected and treated well,Never,Never,Never,Never,Never,NA - I don't interact with clients  or customers in my role,NA - I don't interact with clients  or customers in my role,NA - I don't interact with clients  or customers in my role,NA - I don't interact with clients  or customers in my role,NA - I don't interact with clients  or customers in my role,Strongly agree,Strongly agree,Strongly agree,Not sure,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4.7,NA,NA,I can work flexibly in a way which suits me,NA,NA,NA,NA,NA,NA,NA,NA,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,I would strongly prefer to be an in-house worker,NA,More working hours,NA,NA,NA,NA,NA,NA,"Better terms and conditions, such as improved sick pay or holiday pay",NA,NA,NA,NA,NA,NA,,Neither agree nor disagree,0.7720635289081558
Female,24,English / Welsh / Scottish / Northern Irish / British,White British,White,Scotland,Some other kind of organisation,A public limited company,Mid,I was born in the UK,Born in UK,8400,180.47882136279927,0,Low,group 1 outsourced and long term,No,No,"Sales and customer service occupations (e.g. sales and retail assistants, call centre workers, pharmacy workers)","Accommodation and Food Service Activities  (accommodation or food services, such as hotels, restaurants, and catering se",25-35 hours,More than 2 weeks but less than 4 weeks,No,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,NA,NA,NA,NA,None of these,,6,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt prepared and adequately trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Usually respected and treated well,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,4.454545454545454,NA,NA,NA,NA,NA,NA,It is helping me develop skills and experience I need to progress,This was the best job available to me,I do not have the formal qualifications I need to do another job I would prefer,NA,NA,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,I have no preference,Higher pay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Somewhat agree,1.7396205210894333
Male,65,English / Welsh / Scottish / Northern Irish / British,White British,White,Yorkshire and the Humber,"A private firm, business or limited company",NA,High,I was born in the UK,Born in UK,10320,221.73112338858195,0,Low,group 1 outsourced and long term,No,No,"Skilled trades and skilled manual occupations (e.g. farmers, tool makers, electricians, plumbers, builders)","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",16-24 hours,More than 2 weeks but less than 4 weeks,No,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,NA,NA,NA,NA,None of these,,6,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt very well prepared and well trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Always respected and treated well,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5,I like doing this kind of work,NA,I can work flexibly in a way which suits me,NA,I like my colleagues,NA,NA,NA,NA,NA,NA,I get to work more flexibly,Neither / no impact,I have more secure working hours,Neither / no impact,Neither / no impact,I have more opportunity to progress onto higher pay or be promoted,Neither / no impact,Neither / no impact,Neither / no impact,I have more opportunity to specialise in my role or industry,I feel more connected to people I work with,I feel more invested in my role and my work,Neither / no impact,My health and safety at work is more protected,I have no preference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I don’t think anything needs improving,,Strongly agree,0.7971889559642225
Male,18,English / Welsh / Scottish / Northern Irish / British,White British,White,London,Some other kind of organisation,A public limited company,Mid,I was born in the UK,Born in UK,18000,386.7403314917127,0,Low,group 1 outsourced and long term,No,Yes,"Sales and customer service occupations (e.g. sales and retail assistants, call centre workers, pharmacy workers)","Accommodation and Food Service Activities  (accommodation or food services, such as hotels, restaurants, and catering se",16-24 hours,4-6 days,Yes,25-49%,"Yes, my employer pays me sick pay which is above the basic rate of statutory sick pay (£116.75 a week) but below my usu",NA,NA,NA,NA,NA,Not being provided with a pay slip that shows how much I am being paid over a certain period of time,NA,NA,,6,I think I get paid  more  than my colleagues in comparable roles who work in-house.,I felt very well prepared and well trained,I feel I am treated  the same  as in-house staff,I feel I am treated  better  than in-house staff,"Sometimes well, sometimes poorly",Often,Sometimes,Rarely,Rarely,Often,Sometimes,Sometimes,Rarely,Rarely,Rarely,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,3.3636363636363638,NA,NA,NA,NA,NA,NA,NA,NA,I do not have the formal qualifications I need to do another job I would prefer,NA,NA,I get to work less flexibly,I get paid more,I have more secure working hours,Neither / no impact,I get worse terms and conditions,I have more opportunity to progress onto higher pay or be promoted,I have  more access to training and development,Neither / no impact,I am treated better than in-house colleagues,I have more opportunity to specialise in my role or industry,I feel less connected to people I work with,I feel more invested in my role and my work,I find it easier to assert my rights at work,My health and safety at work is more protected,I would prefer to be an outsourced worker,NA,NA,NA,More secure / consistent working hours,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Somewhat disagree,2.116472633643382
Male,44,English / Welsh / Scottish / Northern Irish / British,White British,White,North West,"A private firm, business or limited company",NA,High,I was born in the UK,Born in UK,23760,515.6537753222835,0,Mid,group 1 outsourced and long term,NA,No,"Professional, scientific, technical and associated occupations (e.g. doctor, nurse, teacher, lawyer, accountants, journa",I’m not sure,35+ hours,1-2 weeks,No,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,NA,NA,NA,Not having adequate health and safety protections,NA,,5,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt very well prepared and well trained,I feel I am treated  worse  than in-house staff,I feel I am treated  worse  than in-house staff,"Sometimes well, sometimes poorly",Don’t know,Don’t know,Prefer not to say,Don’t know,Don’t know,Never,Never,Never,Never,Never,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,4.090909090909091,NA,My job is in a convenient location,NA,NA,NA,NA,NA,NA,NA,NA,NA,I get to work less flexibly,Neither / no impact,Neither / no impact,Neither / no impact,I get better terms and conditions,Neither / no impact,I have  less access to training and development,Neither / no impact,Neither / no impact,I have less opportunity to specialise in my role or industry,I feel more connected to people I work with,Neither / no impact,I find it harder to assert my rights at work,My health and safety at work is more protected,I have no preference,NA,More working hours,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Strongly disagree,0.64376389393187206
Female,41,English / Welsh / Scottish / Northern Irish / British,White British,White,North East,"A private firm, business or limited company",NA,High,Within the last 20 years,Not born in UK,48660.55714285714,1045.5,0,High,group 1 outsourced and long term,Yes,Yes,"Professional, scientific, technical and associated occupations (e.g. doctor, nurse, teacher, lawyer, accountants, journa","Professional, Scientific, and Technical Activities  (includes services such as legal, accounting, consulting, architectu",25-35 hours,4-6 days,Yes,25-49%,"Yes, my employer pays me sick pay which is above the basic rate of statutory sick pay (£116.75 a week) but below my usu",NA,NA,NA,NA,NA,NA,NA,None of these,,6,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt prepared and adequately trained,I feel I am treated  the same  as in-house staff,I feel I am treated  better  than in-house staff,"Sometimes well, sometimes poorly",Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,4.454545454545454,NA,NA,NA,The pay is good,I like my colleagues,I like the workplace culture,NA,NA,NA,NA,NA,I get to work more flexibly,I get paid more,I have less secure working hours,I get worse holiday leave,I get better terms and conditions,I have less opportunity to progress onto higher pay or be promoted,I have  more access to training and development,I have less job security,I am treated worse than in house colleagues,I have more opportunity to specialise in my role or industry,I feel less connected to people I work with,I feel less invested in my role and my work,I find it harder to assert my rights at work,My health and safety at work is more protected,I have no preference,NA,NA,NA,NA,NA,NA,Feeling more like a part of the team with other outsourced staff,Being treated better,NA,NA,NA,NA,NA,NA,NA,,Strongly agree,0.449781804107747
Male,56,English / Welsh / Scottish / Northern Irish / British,White British,White,North West,"A private firm, business or limited company",NA,Mid,I was born in the UK,Born in UK,18617.14285714286,400,0,Mid,group 1 outsourced and long term,No,Yes,"Skilled trades and skilled manual occupations (e.g. farmers, tool makers, electricians, plumbers, builders)","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",25-35 hours,4-6 days,No,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,NA,Not being given pay that I am entitled to while being off sick,NA,Not having adequate health and safety protections,NA,,4,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt prepared and adequately trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,"Sometimes well, sometimes poorly",Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,3.909090909090909,I like doing this kind of work,My job is in a convenient location,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither / no impact,Neither / no impact,Neither / no impact,I get better holiday leave,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,I would strongly prefer to be an outsourced worker,Higher pay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Being represented at work through a union or workplace council,NA,NA,,Somewhat disagree,0.9744751586029403
Male,47,English / Welsh / Scottish / Northern Irish / British,White British,White,Scotland,"A private firm, business or limited company",NA,High,I was born in the UK,Born in UK,143000,3072.43707796194,1,High,group 1 outsourced and long term,No,No,"Process, plant and machine operatives (e.g. lorry, train and bus drivers, machinists, plant operatives, assembly line wo","Mining and Quarrying  (includes mining, quarrying, or oil and gas extraction)",35+ hours,4 weeks or more,No,NA,"No, I do not have access to sick pay if I am off work sick",NA,NA,NA,NA,NA,NA,NA,None of these,,7,I think I get paid  more  than my colleagues in comparable roles who work in-house.,I felt very well prepared and well trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Always respected and treated well,Sometimes,Sometimes,Never,Never,Never,Sometimes,Sometimes,Never,Never,Never,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,3.8181818181818183,NA,NA,NA,The pay is good,NA,NA,NA,NA,NA,NA,NA,Neither / no impact,I get paid more,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,I have  more access to training and development,I have less job security,Neither / no impact,Neither / no impact,I feel more connected to people I work with,Neither / no impact,Neither / no impact,Neither / no impact,I have no preference,Higher pay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Somewhat agree,0.9166708308000824
Female,23,English / Welsh / Scottish / Northern Irish / British,White British,White,East Midlands,"A private firm, business or limited company",NA,Mid,I was born in the UK,Born in UK,9000,193.37016574585635,0,Low,group 1 outsourced and long term,No,Don't know,"Skilled trades and skilled manual occupations (e.g. farmers, tool makers, electricians, plumbers, builders)",Administrative and Support Service Activities  (provides administrative support or various services to other businesses.,9-15 hours,Not applicable – my job does not involve variable working hours or shift work,No,NA,I don’t know / I’m not sure,NA,NA,NA,NA,NA,NA,NA,None of these,,4,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt very well prepared and well trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Usually respected and treated well,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,3.090909090909091,NA,NA,NA,The pay is good,I like my colleagues,NA,NA,This was the best job available to me,NA,I can do the job alongside managing my health conditions,NA,I get to work more flexibly,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,I have more job security,Neither / no impact,I have less opportunity to specialise in my role or industry,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,I would strongly prefer to be an in-house worker,NA,NA,NA,More secure / consistent working hours,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Neither agree nor disagree,1.528726431478432
Female,43,Indian,Asian/Asian British,Non-White,London,"A private firm, business or limited company",NA,High,Within the last 15 years,Not born in UK,25200.5,541.4472068753837,0,Mid,group 1 outsourced and long term,No,No,"Managers, directors and senior officials (e.g. CEOs, MDs, board members, elected officials, shop owners, business owners",Administrative and Support Service Activities  (provides administrative support or various services to other businesses.,16-24 hours,More than 2 weeks but less than 4 weeks,No,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",Not being paid on time,NA,NA,NA,Not being given pay that I am entitled to while being off sick,NA,Not having adequate health and safety protections,NA,,6,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt prepared and adequately trained,I feel I am treated  better  than in-house staff,I feel I am treated  better  than in-house staff,Usually respected and treated well,Sometimes,Sometimes,Sometimes,Never,Rarely,Sometimes,Often,Sometimes,Sometimes,Sometimes,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,4.545454545454546,NA,NA,I can work flexibly in a way which suits me,NA,NA,NA,NA,This was the best job available to me,NA,NA,I can do the job alongside childcare or caring for others,I get to work less flexibly,I get paid more,I have less secure working hours,I get better holiday leave,I get worse terms and conditions,I have less opportunity to progress onto higher pay or be promoted,I have  more access to training and development,I have more job security,I am treated better than in-house colleagues,I have more opportunity to specialise in my role or industry,I feel less connected to people I work with,I feel more invested in my role and my work,I find it harder to assert my rights at work,My health and safety at work is less protected,I would prefer to be an in-house worker,NA,NA,NA,More secure / consistent working hours,More flexible working hours,NA,NA,NA,"Better terms and conditions, such as improved sick pay or holiday pay",NA,NA,NA,NA,NA,NA,,Strongly agree,0.42788939068309406
