"","Sex","Age","Ethnicity","Ethnicity_Collapsed","Region","Type_Of_Org","Specific_Type_Of_Org","Education_Band","BORNUK","Annual_Income","Weekly_Income","income_drop","Income_Group","TradeUnion","TUCOV","Occupation_Catergory","Organisation_Catergory","Guaranteed_Hours","Notice_Of_Working_Hours","Notice_Of_Cancelled_Shifts","Cancelled_Shift_Pay","Sick_Pay","RightsViolations_Paid_On_Time","RightsViolations_Paid_Correct_Amount","RightsViolations_Leave_Entitlement","RightsViolations_Holiday_Pay","RightsViolations_Sick_Pay","RightsViolations_Pay_Slip","RightsViolations_Health_Safety","RightsViolations_None","RightsViolations_TEXT","Job_Satisfaction","Pay_Comparison","Training_Induction","Treatment_At_Work_InHouse","Treatment_At_Work_Overall","Client_Discrimination_Age","Client_Discrimination_Disability","Client_Discrimination_Nationality","Client_Discrimination_Ethnicity","Client_Discrimination_Sex","Clarity1","Clarity2","Clarity3","Clarity4","Clarity5","Clarity6","Clarity7","Clarity8","Clarity9","Clarity10","Clarity11","Clarity_Overall_Mean","Why_Job_Like","Why_Job_Convinient","Why_Job_Flexibility","Why_Job_Pay","Why_Job_Collegues","Why_Job_Culture","Why_Job_Progress","Why_Job_BestAvailable","Why_Job_NotQualified","Why_Job_Health","Why_Job_Carer","Pros_And_Cons_Flexibility","Pros_And_Cons_Pay","Pros_And_Cons_Hours","Pros_And_Cons_Holiday","Pros_And_Cons_Terms","Pros_And_Cons_Promotion","Pros_And_Cons_Training","Pros_And_Cons_Security","Pros_And_Cons_Treatment","Pros_And_Cons_Specialisation","Pros_And_Cons_Connection","Pros_And_Cons_FeelInvested","Pros_And_Cons_Rights","Pros_And_Cons_HealthSafety","Work_Preference","What_Improvements_Pay","What_Improvements_MoreHours","What_Improvements_LessHours","What_Improvements_MoreConsistency","What_Improvements_MoreFlexibility","What_Improvements_PartofInhouse","What_Improvements_PartofOutsourced","What_Improvements_Treatment","What_Improvements_BetterTerms","What_Improvements_EnforceRights","What_Improvements_Management","What_Improvements_Autonomy","What_Improvements_Union","What_Improvements_Other","What_Improvements_None","What_Improvements_Other_TEXT","Complaints","Outsourced","Rights_Violations_Score","What_Improvements_Score"
"779","Female",23,"English / Welsh / Scottish / Northern Irish / British","White","London","A private firm, business or limited company",NA,"High","I was born in the UK",30000,644.567219152854,0,"Not low","No","Yes","Administrative and secretarial occupations (e.g. clerk, secretary, receptionist)","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam","35+ hours","Not applicable – my job does not involve variable working hours or shift work","Not applicable - my job does not involve variable working hours or shift work",NA,"Yes, my employer pays the basic rate of statutory sick pay (£116.75 a week)","Yes","Yes","No","No","No","Yes","No",NA,NA,4,"I think I get paid  about the same  as my colleagues in comparable roles who work in-house.","I felt prepared and adequately trained","I feel I am treated  better  than in-house staff","Sometimes well, sometimes poorly",0,0,0,0,0,"Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree",2.90909090909091,NA,"My job is in a convenient location","I can work flexibly in a way which suits me","The pay is good",NA,NA,NA,"This was the best job available to me","I do not have the formal qualifications I need to do another job I would prefer",NA,NA,"Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","I have no preference","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No",NA,NA,NA,"Neither agree nor disagree",1.12604624363189,3,3
"780","Male",32,"African","Black/ African/Caribbean/Black British","South East","A private firm, business or limited company",NA,"High","Within the last year",NA,NA,0,NA,"No","No","Professional, scientific, technical and associated occupations (e.g. doctor, nurse, teacher, lawyer, accountants, journa","Human Health and Social Work Activities (health and medical services, residential care, or social work activities)","35+ hours","1-3 days","Yes","0%","I don’t know / I’m not sure","No","No","No","No","No","No","No","None of these",NA,5,"I don’t know / I’m not sure","I don’t know / not sure","I feel I am treated  the same  as in-house staff","Always respected and treated well",0,0,0,0,0,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree",3,NA,"My job is in a convenient location","I can work flexibly in a way which suits me","The pay is good","I like my colleagues","I like the workplace culture",NA,NA,NA,NA,NA,"Neither / no impact","Don't know","Neither / no impact","Neither / no impact","Neither / no impact","Don't know","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Don't know","Not sure","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,NA,NA,"Neither agree nor disagree",0.342035880656235,0,1
"781","Male",57,"Irish","White","North West","A private firm, business or limited company",NA,"Mid","More than 30 years ago",36950,793.891958256599,0,"Not low","No","No","Professional, scientific, technical and associated occupations (e.g. doctor, nurse, teacher, lawyer, accountants, journa","Professional, Scientific, and Technical Activities  (includes services such as legal, accounting, consulting, architectu","35+ hours","Not applicable – my job does not involve variable working hours or shift work","No",NA,"Yes, my employer pays me sick pay which is above the basic rate of statutory sick pay (£116.75 a week) but below my usu","No","No","No","No","No","No","No","None of these",NA,4,"NA – there are no in-house colleagues in comparable roles to mine","I don’t know / not sure","It’s not possible to say / there are no in-house staff I can compare myself to","Sometimes well, sometimes poorly",0,0,0,0,1,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree",3,NA,NA,NA,NA,NA,NA,NA,NA,"I do not have the formal qualifications I need to do another job I would prefer",NA,NA,"Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","My health and safety at work is more protected","I have no preference","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"I don’t think anything needs improving",NA,"Neither agree nor disagree",0.97447515860294,0,0
"782","Female",22,"African","Black/ African/Caribbean/Black British","East Midlands","A private firm, business or limited company",NA,"High","Within the last year",20400,438.305709023941,0,"Not low","Yes","Yes","Professional, scientific, technical and associated occupations (e.g. doctor, nurse, teacher, lawyer, accountants, journa","Human Health and Social Work Activities (health and medical services, residential care, or social work activities)","35+ hours","1-2 weeks","Yes","1-24%","Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay","No","No","No","No","No","No","No","None of these",NA,6,"I think I get paid  less  than my colleagues in comparable roles who work in-house.","I felt prepared and adequately trained","I feel I am treated  better  than in-house staff","Usually respected and treated well",3,NA,2,3,2,"Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree",4.72727272727273,"I like doing this kind of work",NA,NA,NA,NA,NA,"It is helping me develop skills and experience I need to progress",NA,NA,NA,NA,"I get to work less flexibly","I get paid less","I have more secure working hours","I get better holiday leave","I get better terms and conditions","I have less opportunity to progress onto higher pay or be promoted","I have  more access to training and development","I have more job security","I am treated better than in-house colleagues","I have more opportunity to specialise in my role or industry","I feel more connected to people I work with","I feel more invested in my role and my work","I find it easier to assert my rights at work","My health and safety at work is more protected","Not sure","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,NA,NA,"Somewhat agree",0.457947084362948,0,1
"783","Male",23,"English / Welsh / Scottish / Northern Irish / British","White","East Midlands","Some other kind of organisation","Local government or council (including fire service and local authority controlled schools or colleges)","Mid","I was born in the UK",26000,558.624923265807,0,"Not low","No","Yes","Administrative and secretarial occupations (e.g. clerk, secretary, receptionist)","Public Administration and Defence; Compulsory Social Security  (Government organisation, or civil service, does not incl","35+ hours","4-6 days","No",NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay","No","No","No","No","No","No","Yes",NA,NA,5,"I think I get paid  about the same  as my colleagues in comparable roles who work in-house.","I felt very well prepared and well trained","I feel I am treated  the same  as in-house staff","Usually respected and treated well",1,0,0,0,0,"Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree",4.18181818181818,"I like doing this kind of work",NA,NA,"The pay is good",NA,"I like the workplace culture",NA,NA,NA,NA,NA,"Neither / no impact","Neither / no impact","Neither / no impact","I get better holiday leave","I get better terms and conditions","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","I would prefer to be an in-house worker","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No",NA,NA,NA,"Neither agree nor disagree",1.80117247529505,1,2
"784","Female",52,"English / Welsh / Scottish / Northern Irish / British","White","North West","A private firm, business or limited company",NA,"Mid","I was born in the UK",NA,NA,0,NA,"No","No","Administrative and secretarial occupations (e.g. clerk, secretary, receptionist)","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o","35+ hours","Not applicable – my job does not involve variable working hours or shift work","No",NA,"I don’t know / I’m not sure","No","No","No","No","No","No","No","None of these",NA,6,"I think I get paid  less  than my colleagues in comparable roles who work in-house.","I felt very well prepared and well trained","I feel I am treated  the same  as in-house staff","Usually respected and treated well",0,0,0,0,0,"Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Not sure",3.3,NA,"My job is in a convenient location",NA,"The pay is good",NA,NA,NA,NA,NA,NA,NA,"Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","I would strongly prefer to be an in-house worker","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,NA,NA,"Not sure",1.16913316724945,0,1
"785","Male",37,"English / Welsh / Scottish / Northern Irish / British","White","London","A private firm, business or limited company",NA,"High","I was born in the UK",12000,257.826887661142,0,"Low","Yes","Yes","Managers, directors and senior officials (e.g. CEOs, MDs, board members, elected officials, shop owners, business owners","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra","1-8 hours","Less than 24 hours","No",NA,"Yes, my employer pays me sick pay which is above the basic rate of statutory sick pay (£116.75 a week) but below my usu","No","No","No","No","No","No","No","None of these",NA,7,"I think I get paid  more  than my colleagues in comparable roles who work in-house.","I felt prepared and adequately trained","I feel I am treated  the same  as in-house staff","Usually respected and treated well",0,0,0,0,0,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree",5,"I like doing this kind of work",NA,"I can work flexibly in a way which suits me","The pay is good",NA,NA,NA,NA,NA,NA,NA,"I get to work less flexibly","I get paid more","I have more secure working hours","I get better holiday leave","I get better terms and conditions","I have more opportunity to progress onto higher pay or be promoted","I have  more access to training and development","I have more job security","I am treated better than in-house colleagues","I have more opportunity to specialise in my role or industry","I feel more connected to people I work with","I feel more invested in my role and my work","I find it easier to assert my rights at work","My health and safety at work is more protected","I would prefer to be an in-house worker","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No",NA,NA,NA,"Strongly agree",0.946555362242736,0,2
"786","Male",62,"English / Welsh / Scottish / Northern Irish / British","White","North West","Some other kind of organisation","Central government or civil service","Mid","I was born in the UK",22000,472.68262737876,0,"Not low","Yes","Yes","Administrative and secretarial occupations (e.g. clerk, secretary, receptionist)","Public Administration and Defence; Compulsory Social Security  (Government organisation, or civil service, does not incl","16-24 hours","4 weeks or more","Yes","75-99%","Yes, my employer pays me sick pay which is above the basic rate of statutory sick pay (£116.75 a week) but below my usu","No","No","No","No","No","No","No","None of these",NA,6,"I think I get paid  less  than my colleagues in comparable roles who work in-house.","I felt very well prepared and well trained","I feel I am treated  the same  as in-house staff","Always respected and treated well",0,0,0,0,0,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree",5,"I like doing this kind of work",NA,"I can work flexibly in a way which suits me",NA,NA,"I like the workplace culture",NA,NA,NA,NA,NA,"I get to work more flexibly","Neither / no impact","Neither / no impact","I get better holiday leave","Neither / no impact","I have less opportunity to progress onto higher pay or be promoted","Neither / no impact","Neither / no impact","Neither / no impact","I have more opportunity to specialise in my role or industry","I feel more connected to people I work with","Neither / no impact","I find it easier to assert my rights at work","Neither / no impact","I would prefer to be an outsourced worker","No","No","No","No","Yes","No","No","No","No","No","No","No","No",NA,NA,NA,"Strongly agree",0.97447515860294,0,1
"787","Female",65,"English / Welsh / Scottish / Northern Irish / British","White","South West","A private firm, business or limited company",NA,"Low","I was born in the UK",11542.6285714286,248,0,"Low","No","Don't know","Elementary and routine jobs (e.g. postal workers, cleaners, parking inspector, porters, bar staff and waiters)","Public Administration and Defence; Compulsory Social Security  (Government organisation, or civil service, does not incl","16-24 hours","Not applicable – my job does not involve variable working hours or shift work","Not applicable - my job does not involve variable working hours or shift work",NA,"No, I do not have access to sick pay if I am off work sick","No","No","No","No","Yes","No","No",NA,NA,7,"I don’t know / I’m not sure","I felt prepared and adequately trained","I feel I am treated  the same  as in-house staff","Always respected and treated well",0,0,0,0,0,"Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree",4.63636363636364,"I like doing this kind of work","My job is in a convenient location","I can work flexibly in a way which suits me",NA,"I like my colleagues","I like the workplace culture",NA,NA,NA,NA,NA,"I get to work more flexibly","Neither / no impact","I have more secure working hours","Neither / no impact","Neither / no impact","I have more opportunity to progress onto higher pay or be promoted","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","I have no preference","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No",NA,NA,NA,"Somewhat agree",1.27704411641004,1,2
"788","Male",64,"English / Welsh / Scottish / Northern Irish / British","White","East of England","A private firm, business or limited company",NA,"Low","I was born in the UK",30000,644.567219152854,0,"Not low","No","No","Skilled trades and skilled manual occupations (e.g. farmers, tool makers, electricians, plumbers, builders)","Administrative and Support Service Activities  (provides administrative support or various services to other businesses.","35+ hours","Less than 24 hours","No",NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay","No","No","No","No","No","No","No","None of these",NA,7,"NA – there are no in-house colleagues in comparable roles to mine","I felt very well prepared and well trained","I feel I am treated  the same  as in-house staff","Usually respected and treated well",0,0,0,0,0,"Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree",4.36363636363636,"I like doing this kind of work",NA,NA,"The pay is good","I like my colleagues",NA,NA,NA,NA,NA,NA,"Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","I have more job security","Neither / no impact","Neither / no impact","I feel more connected to people I work with","Neither / no impact","Neither / no impact","Neither / no impact","I would prefer to be an outsourced worker","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No",NA,NA,NA,"Somewhat agree",1.0892344722819,0,3
"789","Male",40,"English / Welsh / Scottish / Northern Irish / British","White","West Midlands","A private firm, business or limited company",NA,"Low","I was born in the UK",20000,429.711479435236,0,"Not low","No","No","Elementary and routine jobs (e.g. postal workers, cleaners, parking inspector, porters, bar staff and waiters)","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o","9-15 hours","4-6 days","No",NA,"Yes, my employer pays me sick pay which is above the basic rate of statutory sick pay (£116.75 a week) but below my usu","No","No","No","No","No","No","No","None of these",NA,7,"I think I get paid  about the same  as my colleagues in comparable roles who work in-house.","I felt very well prepared and well trained","I feel I am treated  the same  as in-house staff","Usually respected and treated well",0,0,0,0,0,"Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly agree",4.54545454545455,"I like doing this kind of work",NA,NA,NA,NA,NA,NA,"This was the best job available to me",NA,NA,NA,"I get to work more flexibly","I get paid more","I have more secure working hours","I get better holiday leave","I get better terms and conditions","I have more opportunity to progress onto higher pay or be promoted","I have  more access to training and development","I have more job security","I am treated better than in-house colleagues","I have more opportunity to specialise in my role or industry","I feel less connected to people I work with","I feel less invested in my role and my work","I find it easier to assert my rights at work","My health and safety at work is more protected","I have no preference","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"I don’t think anything needs improving",NA,"Strongly agree",1.62274118850745,0,0
"790","Female",39,"Any other White background","White","London","Some other kind of organisation","Some other kind of organisation, please specify","Mid","Within the last 15 years",21177,455,0,"Low","No","Don't know","Elementary and routine jobs (e.g. postal workers, cleaners, parking inspector, porters, bar staff and waiters)","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra","No guaranteed hours (zero hours)","Less than 24 hours","Yes","0%","I don’t know / I’m not sure","No","No","No","No","No","No","No","None of these",NA,6,"I think I get paid  less  than my colleagues in comparable roles who work in-house.","I felt prepared and adequately trained","I feel I am treated  the same  as in-house staff","Always respected and treated well",NA,NA,NA,NA,NA,"Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Not sure","Not sure","Not sure","Not sure","Not sure",4.33333333333333,NA,NA,NA,"The pay is good","I like my colleagues",NA,NA,"This was the best job available to me","I do not have the formal qualifications I need to do another job I would prefer",NA,"I can do the job alongside childcare or caring for others","Neither / no impact","I get paid less","Don't know","Neither / no impact","Don't know","Don't know","Don't know","I have less job security","Neither / no impact","Don't know","I feel more connected to people I work with","Don't know","Don't know","My health and safety at work is more protected","Not sure","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"I don’t think anything needs improving",NA,"Strongly agree",1.79123649605451,0,0
"791","Male",20,"African","Black/ African/Caribbean/Black British","London","Some other kind of organisation","A public limited company","Mid","Within the last year",16800,360.957642725599,0,"Low","No","Yes","Sales and customer service occupations (e.g. sales and retail assistants, call centre workers, pharmacy workers)","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra","9-15 hours","4-6 days","Yes","25-49%","Yes, my employer pays me sick pay which is above the basic rate of statutory sick pay (£116.75 a week) but below my usu","No","No","No","No","No","Yes","No",NA,NA,3,"I think I get paid  about the same  as my colleagues in comparable roles who work in-house.","I felt prepared and adequately trained","I feel I am treated  the same  as in-house staff","Always respected and treated well",0,0,0,0,0,"Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree",4.45454545454545,"I like doing this kind of work","My job is in a convenient location",NA,"The pay is good","I like my colleagues","I like the workplace culture","It is helping me develop skills and experience I need to progress",NA,NA,"I can do the job alongside managing my health conditions",NA,"I get to work more flexibly","I get paid more","I have more secure working hours","I get better holiday leave","I get better terms and conditions","I have more opportunity to progress onto higher pay or be promoted","I have  more access to training and development","Neither / no impact","Neither / no impact","I have more opportunity to specialise in my role or industry","I feel more connected to people I work with","I feel more invested in my role and my work","I find it harder to assert my rights at work","My health and safety at work is more protected","I would strongly prefer to be an in-house worker","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No",NA,NA,NA,"Neither agree nor disagree",1.01141428958008,1,3
"792","Male",33,"English / Welsh / Scottish / Northern Irish / British","White","Northern Ireland","A private firm, business or limited company",NA,"High","More than 30 years ago",30000,644.567219152854,0,"Not low","No","No","Professional, scientific, technical and associated occupations (e.g. doctor, nurse, teacher, lawyer, accountants, journa","Professional, Scientific, and Technical Activities  (includes services such as legal, accounting, consulting, architectu","35+ hours","Not applicable – my job does not involve variable working hours or shift work","Not applicable - my job does not involve variable working hours or shift work",NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay","No","No","No","No","No","No","No","None of these",NA,7,"I think I get paid  about the same  as my colleagues in comparable roles who work in-house.","I felt prepared and adequately trained","I feel I am treated  the same  as in-house staff","Always respected and treated well",0,0,0,0,0,"Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree",4,NA,"My job is in a convenient location",NA,NA,NA,NA,"It is helping me develop skills and experience I need to progress",NA,NA,"I can do the job alongside managing my health conditions",NA,"Neither / no impact","Neither / no impact","I have less secure working hours","I get better holiday leave","I get better terms and conditions","I have less opportunity to progress onto higher pay or be promoted","I have  less access to training and development","I have more job security","I am treated better than in-house colleagues","I have less opportunity to specialise in my role or industry","I feel more connected to people I work with","I feel more invested in my role and my work","I find it easier to assert my rights at work","My health and safety at work is more protected","I have no preference","No","No","No","Yes","No","No","No","Yes","No","No","No","No","Yes",NA,NA,NA,"Somewhat disagree",1.1773105371933,0,3
"793","Female",18,"English / Welsh / Scottish / Northern Irish / British","White","South East","A private firm, business or limited company",NA,"Mid","I was born in the UK",8400,180.478821362799,0,"Low","No","Don't know","Skilled trades and skilled manual occupations (e.g. farmers, tool makers, electricians, plumbers, builders)","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir","No guaranteed hours (zero hours)","1-2 weeks","No",NA,"No, I do not have access to sick pay if I am off work sick","No","Yes","No","Yes","Yes","No","No",NA,NA,3,"I don’t know / I’m not sure","I did not feel prepared or adequately trained","I feel I am treated  the same  as in-house staff","Usually respected and treated well",3,0,0,0,3,"Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree",3.18181818181818,"I like doing this kind of work","My job is in a convenient location","I can work flexibly in a way which suits me",NA,"I like my colleagues","I like the workplace culture","It is helping me develop skills and experience I need to progress",NA,NA,NA,NA,"I get to work more flexibly","Neither / no impact","Neither / no impact","Don't know","Don't know","Neither / no impact","Don't know","Don't know","Neither / no impact","I have more opportunity to specialise in my role or industry","I feel more connected to people I work with","I feel more invested in my role and my work","I find it harder to assert my rights at work","My health and safety at work is more protected","I have no preference","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No",NA,NA,NA,"Somewhat agree",1.23698839601332,3,2
"794","Male",40,"English / Welsh / Scottish / Northern Irish / British","White","North East","A private firm, business or limited company",NA,"Mid","I was born in the UK",34000,730.509515039902,0,"Not low","No","No","Professional, scientific, technical and associated occupations (e.g. doctor, nurse, teacher, lawyer, accountants, journa","Human Health and Social Work Activities (health and medical services, residential care, or social work activities)","35+ hours","Not applicable – my job does not involve variable working hours or shift work","Not applicable - my job does not involve variable working hours or shift work",NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay","Yes","No","No","No","No","No","No",NA,NA,6,"I think I get paid  about the same  as my colleagues in comparable roles who work in-house.","I felt very well prepared and well trained","I feel I am treated  better  than in-house staff","Always respected and treated well",0,0,0,0,0,"Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree",4.72727272727273,"I like doing this kind of work",NA,"I can work flexibly in a way which suits me","The pay is good","I like my colleagues","I like the workplace culture","It is helping me develop skills and experience I need to progress",NA,NA,NA,NA,"Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Not sure","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,NA,NA,"Somewhat agree",1.08258508883006,1,2
"795","Female",50,"Any other White background","White","London","A private firm, business or limited company",NA,"High","Within the last 30 years",55000,1181.7065684469,0,"Not low","Yes","Yes","Managers, directors and senior officials (e.g. CEOs, MDs, board members, elected officials, shop owners, business owners","Activities of households as employers  (employed by a household as domestic personnel, i.e. cleaner – not through an a","25-35 hours","4 weeks or more","No",NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay","No","No","No","No","No","No","No","None of these",NA,6,"I think I get paid  about the same  as my colleagues in comparable roles who work in-house.","I felt very well prepared and well trained","I feel I am treated  the same  as in-house staff","Always respected and treated well",0,0,0,0,0,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree",4.81818181818182,NA,NA,"I can work flexibly in a way which suits me",NA,NA,"I like the workplace culture",NA,NA,NA,NA,NA,"Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","Neither / no impact","I have no preference","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"I don’t think anything needs improving",NA,"Strongly agree",0.828355091017072,0,0
"796","Male",21,"English / Welsh / Scottish / Northern Irish / British","White","Yorkshire and the Humber","A private firm, business or limited company",NA,"Mid","Prefer not to say",25386,545.432780847146,0,"Not low","No","No","Managers, directors and senior officials (e.g. CEOs, MDs, board members, elected officials, shop owners, business owners","Education  (schools, colleges, or training centres)","35+ hours","Not applicable – my job does not involve variable working hours or shift work","Not applicable - my job does not involve variable working hours or shift work",NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay","No","No","No","No","No","No","No","None of these",NA,NA,"I don’t know / I’m not sure","I did not feel prepared or adequately trained","I feel I am treated  the same  as in-house staff","Usually respected and treated well",NA,NA,NA,NA,NA,"Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Strongly agree","Not sure","Not sure","Not sure",5,NA,"My job is in a convenient location",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Neither / no impact","Don't know","Don't know","Don't know","Don't know","Not sure","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"I don’t think anything needs improving",NA,"Strongly agree",1.71956172963467,0,0
